city,country,admin_name,capital,population,id
Bekasi,Indonesia,Jawa Barat,,2381053.0,1360006015
Gloucester,United States,New Jersey,,63705.0,1840081684
Amarillo,United States,Texas,,205603.0,1840019156
Whitefish,United States,Montana,,8295.0,1840021047
Los Alamitos,United States,California,,11399.0,1840020579
Michigan City,United States,Indiana,,65058.0,1840013869
Glasgow,United Kingdom,Glasgow City,,985290.0,1826836462
Asheville,United States,North Carolina,,312507.0,1840013411
Crestwood,United States,Missouri,,11834.0,1840007442
West Vancouver,Canada,British Columbia,,42473.0,1124001824
Villeurbanne,France,Auvergne-Rhône-Alpes,,147712.0,1250002615
Braintree,United Kingdom,Essex,,53477.0,1826745611
Saida,Algeria,Saïda,admin,128413.0,1012285874
Desert Hot Springs,United States,California,,43914.0,1840019306
Stanton,United States,California,,38139.0,1840021966
Bath,United Kingdom,Bath and North East Somerset,,88859.0,1826611282
Chelan,United States,Washington,,6212.0,1840018369
Sioux City,United States,Iowa,,106455.0,1840000447
Sylvania,United States,Ohio,,19311.0,1840009255
Regina,Canada,Saskatchewan,,215106.0,1124342541
Ossining,United States,New York,,37642.0,1840004937
Dresden,Germany,Saxony,admin,556549.0,1276561036
Mazatlan,Mexico,Sinaloa,minor,502547.0,1484841466
Yamaguchi,Japan,Yamaguchi,admin,,1392887215
Elburn,United States,Illinois,,5997.0,1840011347
Huntingdon,United Kingdom,Cambridgeshire,,23732.0,1826796900
Benbrook,United States,Texas,,23502.0,1840019425
East Northport,United States,New York,,20190.0,1840005039
The Colony,United States,Texas,,44438.0,1840022005
Chesterfield,United States,Missouri,,47538.0,1840007446
Takaoka,Japan,Hokkaidō,,174806.0,1392760442
Montreal,Canada,Quebec,,3519595.0,1124586170
Palm Beach,United States,Florida,,8816.0,1840017267
Scottsbluff,United States,Nebraska,,25114.0,1840009197
River Ridge,United States,Louisiana,,13337.0,1840013995
Bridgeport,United States,Connecticut,,924449.0,1840004836
Dubuque,United States,Iowa,,68109.0,1840000438
Soledad,Colombia,Atlántico,minor,698852.0,1170765625
Kihei,United States,Hawaii,,22402.0,1840029507
Leverkusen,Germany,North Rhine-Westphalia,minor,163838.0,1276002465
Cos Cob,United States,Connecticut,,6990.0,1840026281
Thousand Oaks,United States,California,,215029.0,1840021844
Eagle Mountain,United States,Utah,,38391.0,1840018757
Findlay,United States,Ohio,,48469.0,1840000886
Fuquay-Varina,United States,North Carolina,,30324.0,1840016197
Onalaska,United States,Wisconsin,,18943.0,1840002579
Santo Andre,Brazil,São Paulo,,710210.0,1076625886
North Hills,United States,New York,,5969.0,1840005314
Londonderry,United States,New Hampshire,,25927.0,1840055138
Walla Walla,United States,Washington,,57860.0,1840021174
Palm Harbor,United States,Florida,,62310.0,1840014143
Brooks,Canada,Alberta,,14451.0,1124093123
Isla Vista,United States,California,,27707.0,1840017887
Campbell River,Canada,British Columbia,,35138.0,1124851971
Crestview,United States,Florida,,39072.0,1840015007
Izumo,Japan,Shimane,,171995.0,1392299364
Canakkale,Turkey,Çanakkale,admin,180823.0,1792403093
Red Bluff,United States,California,,19039.0,1840020176
Kuching,Malaysia,Sarawak,admin,325132.0,1458462262
Frankfort,United States,Kentucky,admin,38852.0,1840013210
Gulfport,United States,Mississippi,,220987.0,1840013947
Spokane,United States,Washington,,412275.0,1840021093
Fukui,Japan,Fukui,admin,260263.0,1392897510
Bauru,Brazil,São Paulo,,366992.0,1076905338
Thornhill,United Kingdom,Kirklees,,6875.0,1826942452
Blacksburg,United States,Virginia,,91888.0,1840006446
Montclair,United States,California,,40083.0,1840020408
Warrington,United Kingdom,Warrington,,165456.0,1826261547
Lakeport,United States,California,,17466.0,1840020220
Fairlawn,United States,Ohio,,7514.0,1840008253
Morris Plains,United States,New Jersey,,6255.0,1840003576
Philadelphia,United States,Pennsylvania,,5649300.0,1840000673
Sturgeon Bay,United States,Wisconsin,,8934.0,1840003935
Niiza,Japan,Saitama,,164653.0,1392772700
East Brunswick,United States,New Jersey,,47819.0,1840081693
Seaside,United States,California,,116720.0,1840021634
Greenfield,United States,California,,17646.0,1840020356
